ID_Mahasiswa,Pendapatan_Ortu,Tanggungan_Keluarga,Pekerjaan_Ortu,Kepemilikan_Rumah,Tagihan_Listrik,Kendaraan,Nilai_IPK,Beasiswa,Kategori_UKT
M0247,13864386,2,Wiraswasta,Milik Sendiri,420608,Motor,2.91,Ya,UKT 6
M0248,15634415,1,PNS,Milik Sendiri,267314,Mobil,3.01,Tidak,UKT 6
M0249,10249436,1,Swasta,Kontrak,587970,Mobil,3.14,Tidak,UKT 5
M0250,17895683,4,Swasta,Rumah Dinas,535514,Mobil,3.86,Ya,UKT 6
M0251,5833152,6,PNS,Kontrak,204455,Tidak Ada,3.72,Tidak,UKT 2
M0252,11024227,3,Swasta,Milik Sendiri,370304,Mobil,2.34,Tidak,UKT 5
M0253,12844096,5,Wiraswasta,Rumah Dinas,335810,Motor,2.87,Tidak,UKT 6
M0254,7828141,1,PNS,Kontrak,370961,Tidak Ada,2.93,Tidak,UKT 4
M0255,18985139,5,Petani,Milik Sendiri,665486,Motor,3.58,Tidak,UKT 6
M0256,5634207,6,Swasta,Kontrak,477858,Motor,3.21,Tidak,UKT 2
M0257,9016999,6,PNS,Milik Sendiri,616118,Tidak Ada,3.31,Ya,UKT 3
M0258,9905634,1,Swasta,Milik Sendiri,546283,Tidak Ada,4.0,Tidak,UKT 5
M0259,6353584,2,Tidak Bekerja,Menumpang,584522,Tidak Ada,2.15,Ya,UKT 3
M0260,14988191,1,Wiraswasta,Milik Sendiri,631904,Motor+Mobil,2.45,Tidak,UKT 6
M0261,15436751,4,Tidak Bekerja,Milik Sendiri,321365,Tidak Ada,2.82,Tidak,UKT 6
M0262,4801754,3,Swasta,Menumpang,192482,Motor,2.7,Tidak,UKT 2
M0263,2769042,2,PNS,Kontrak,51051,Motor,2.04,Tidak,UKT 1
M0264,15618805,1,Petani,Milik Sendiri,651206,Motor,2.18,Tidak,UKT 6
M0265,2483509,5,Swasta,Milik Sendiri,128116,Motor+Mobil,3.36,Ya,UKT 1
M0266,8240141,2,Wiraswasta,Milik Sendiri,434370,Tidak Ada,3.76,Tidak,UKT 4
M0267,17393597,2,PNS,Kontrak,278931,Motor,3.03,Tidak,UKT 6
M0268,18798917,1,Swasta,Milik Sendiri,356901,Motor,3.08,Tidak,UKT 6
M0269,10508805,2,PNS,Milik Sendiri,569385,Motor+Mobil,2.51,Ya,UKT 5
M0270,11120268,5,Swasta,Menumpang,433152,Motor,3.54,Tidak,UKT 5
M0271,10666834,6,Wiraswasta,Kontrak,573562,Mobil,3.5,Tidak,UKT 4
M0272,6605525,2,Swasta,Milik Sendiri,276572,Tidak Ada,3.18,Tidak,UKT 3
M0273,11826237,6,Swasta,Kontrak,181379,Motor,2.43,Tidak,UKT 5
M0274,19734400,5,Swasta,Kontrak,631177,Motor,2.19,Tidak,UKT 6
M0275,1918175,1,Swasta,Milik Sendiri,276256,Mobil,2.13,Tidak,UKT 1
M0276,16059675,3,Wiraswasta,Milik Sendiri,612422,Tidak Ada,3.19,Tidak,UKT 6
M0277,16400476,2,Wiraswasta,Rumah Dinas,470539,Tidak Ada,3.65,Tidak,UKT 6
M0278,7765795,3,Tidak Bekerja,Milik Sendiri,559421,Motor,3.72,Tidak,UKT 4
M0279,4272962,5,Wiraswasta,Kontrak,252834,Tidak Ada,2.93,Tidak,UKT 1
M0280,13080031,2,Swasta,Milik Sendiri,530441,Tidak Ada,3.57,Tidak,UKT 6
M0281,10649035,6,Petani,Milik Sendiri,277579,Motor+Mobil,3.89,Ya,UKT 4
M0282,13207035,4,Swasta,Milik Sendiri,600242,Motor,2.55,Tidak,UKT 6
M0283,5630397,3,Swasta,Milik Sendiri,402103,Motor,2.8,Ya,UKT 2
M0284,3951356,2,Wiraswasta,Milik Sendiri,317136,Mobil,3.86,Tidak,UKT 2
M0285,3944084,3,PNS,Milik Sendiri,576249,Motor,2.68,Tidak,UKT 2
M0286,3427109,2,Tidak Bekerja,Rumah Dinas,586785,Tidak Ada,3.83,Tidak,UKT 2
M0287,13261186,1,Swasta,Menumpang,475767,Motor,3.96,Tidak,UKT 6
M0288,11775612,6,Petani,Rumah Dinas,185639,Motor,3.32,Tidak,UKT 5
M0289,9003902,3,Petani,Menumpang,70389,Motor,3.63,Ya,UKT 4
M0290,12021122,4,Wiraswasta,Milik Sendiri,225595,Motor,3.5,Tidak,UKT 6
M0291,16688091,4,Petani,Menumpang,435946,Tidak Ada,3.4,Tidak,UKT 6
M0292,6714624,5,Petani,Milik Sendiri,373720,Motor,2.61,Tidak,UKT 3
M0293,4835868,2,PNS,Menumpang,53358,Motor+Mobil,2.11,Tidak,UKT 2
M0294,10314996,3,Petani,Menumpang,400679,Mobil,2.69,Tidak,UKT 5
